Word;Positive tone;Negative tone
Below;;Negativ
Challenge;;Negativ
Challenged;;Negativ
Challenges;;Negativ
Challenging;;Negativ
Decline;;Negativ
Declined;;Negativ
Declines;;Negativ
Declining;;Negativ
Decrease;;Negativ
Decreased;;Negativ
Decreases;;Negativ
Decreasing;;Negativ
Depressed;;Negativ
Deteriorate;;Negativ
Deteriorated;;Negativ
Deteriorates;;Negativ
Deteriorating;;Negativ
Difficult;;Negativ
Difficulty;;Negativ
Disappoint;;Negativ
Disappointed;;Negativ
Disappointing;;Negativ
Disappointment;;Negativ
Disappoints;;Negativ
Down;;Negativ
Downturn;;Negativ
Drop;;Negativ
Dropped;;Negativ
Dropping;;Negativ
Drops;;Negativ
Fail;;Negativ
Failing;;Negativ
Fails;;Negativ
Failure;;Negativ
Fall;;Negativ
Fallen;;Negativ
Falling;;Negativ
Falls;;Negativ
Fell;;Negativ
Hurdle;;Negativ
Hurdles;;Negativ
Least;;Negativ
Less;;Negativ
Low;;Negativ
Lower;;Negativ
Lowest;;Negativ
Negative;;Negativ
Negatives;;Negativ
Obstacle;;Negativ
Obstacles;;Negativ
Penalties;;Negativ
Penalty;;Negativ
Risk;;Negativ
Risks;;Negativ
Risky;;Negativ
Shrink;;Negativ
Shrinking;;Negativ
Shrinks;;Negativ
Shrunk;;Negativ
Slump;;Negativ
Slumped;;Negativ
Slumping;;Negativ
Slumps;;Negativ
Smaller;;Negativ
Smallest;;Negativ
Threat;;Negativ
Threats;;Negativ
Uncertain;;Negativ
Uncertainty;;Negativ
Under;;Negativ
Unfavorable;;Negativ
Unsettled;;Negativ
Weak;;Negativ
Weaken;;Negativ
Weakened;;Negativ
Weakening;;Negativ
Weakens;;Negativ
Weakness;;Negativ
Weaknesses;;Negativ
Worse;;Negativ
Worsen;;Negativ
Worsening;;Negativ
Worsens;;Negativ
Worst;;Negativ
Above;Positiv;
Accomplish;Positiv;
Accomplished;Positiv;
Accomplishes;Positiv;
Accomplishing;Positiv;
Accomplishment;Positiv;
Accomplishments;Positiv;
Achieve;Positiv;
Achieved;Positiv;
Achievement;Positiv;
Achievements;Positiv;
Achieves;Positiv;
Achieving;Positiv;
Beat;Positiv;
Beating;Positiv;
Beats;Positiv;
Best;Positiv;
Better;Positiv;
Certain;Positiv;
Certainty;Positiv;
Definite;Positiv;
Deliver;Positiv;
Delivered;Positiv;
Delivering;Positiv;
Delivers;Positiv;
Encouraged;Positiv;
Encouraging;Positiv;
Enjoy;Positiv;
Enjoyed;Positiv;
Enjoying;Positiv;
Enjoys;Positiv;
Exceed;Positiv;
Exceeded;Positiv;
Exceeding;Positiv;
Exceeds;Positiv;
Excellent;Positiv;
Expand;Positiv;
Expanded;Positiv;
Expanding;Positiv;
Expands;Positiv;
Expansion;Positiv;
Good;Positiv;
Greater;Positiv;
Greatest;Positiv;
Grew;Positiv;
Grow;Positiv;
Growing;Positiv;
Grown;Positiv;
Grows;Positiv;
Growth;Positiv;
High;Positiv;
Higher;Positiv;
Highest;Positiv;
Improve;Positiv;
Improved;Positiv;
Improvement;Positiv;
Improvements;Positiv;
Improves;Positiv;
Improving;Positiv;
Increase;Positiv;
Increased;Positiv;
Increases;Positiv;
Increasing;Positiv;
Larger;Positiv;
Largest;Positiv;
Leader;Positiv;
Leading;Positiv;
More;Positiv;
Most;Positiv;
Opportunities;Positiv;
Opportunity;Positiv;
Pleased;Positiv;
Positive;Positiv;
Positives;Positiv;
Progress;Positiv;
Progressing;Positiv;
Record;Positiv;
Reward;Positiv;
Rewarded;Positiv;
Rewarding;Positiv;
Rewards;Positiv;
Rise;Positiv;
Risen;Positiv;
Rises;Positiv;
Rising;Positiv;
Rose;Positiv;
Solid;Positiv;
Strength;Positiv;
Strengthen;Positiv;
Strengthened;Positiv;
Strengthening;Positiv;
Strengthens;Positiv;
Strengths;Positiv;
Strong;Positiv;
Stronger;Positiv;
Strongest;Positiv;
Succeed;Positiv;
Succeeded;Positiv;
Succeeding;Positiv;
Succeeds;Positiv;
Success;Positiv;
Successes;Positiv;
Successful;Positiv;
Up;Positiv;
