Pass #: 59; Equity: 61,233.37; Profit / Loss: 11,278.20; Balance: 61,233.37; Total Trades: 13; Profit Factor: 10.27; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=3.5
Pass #: 53; Equity: 60,628.95; Profit / Loss: 10,674.60; Balance: 60,628.95; Total Trades: 14; Profit Factor: 10.21; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=3.5
Pass #: 56; Equity: 60,429.40; Profit / Loss: 10,476.60; Balance: 60,429.40; Total Trades: 14; Profit Factor: 8.71; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=3.5
Pass #: 52; Equity: 59,992.24; Profit / Loss: 10,034.40; Balance: 59,896.84; Total Trades: 14; Profit Factor: 7.66; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=3.5
Pass #: 44; Equity: 59,449.68; Profit / Loss: 9,507.60; Balance: 59,449.68; Total Trades: 17; Profit Factor: 7.16; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=3.0
Pass #: 38; Equity: 59,035.04; Profit / Loss: 9,093.00; Balance: 59,035.04; Total Trades: 18; Profit Factor: 7.55; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=3.0
Pass #: 41; Equity: 58,788.50; Profit / Loss: 8,848.00; Balance: 58,788.50; Total Trades: 18; Profit Factor: 6.41; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=3.0
Pass #: 37; Equity: 58,504.34; Profit / Loss: 8,558.80; Balance: 58,408.94; Total Trades: 18; Profit Factor: 5.92; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=3.0
Pass #: 29; Equity: 57,692.29; Profit / Loss: 7,750.20; Balance: 57,692.29; Total Trades: 18; Profit Factor: 6.02; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=2.5
Pass #: 23; Equity: 57,365.11; Profit / Loss: 7,424.60; Balance: 57,365.11; Total Trades: 19; Profit Factor: 6.33; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=2.5
Pass #: 83; Equity: 57,309.34; Profit / Loss: 7,346.20; Balance: 57,309.34; Total Trades: 11; Profit Factor: 5.65; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=4.5
Pass #: 26; Equity: 57,120.11; Profit / Loss: 7,179.60; Balance: 57,120.11; Total Trades: 19; Profit Factor: 5.38; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.5
Pass #: 55; Equity: 56,960.29; Profit / Loss: 7,022.80; Balance: 56,864.89; Total Trades: 20; Profit Factor: 3.13; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=3.5
Pass #: 82; Equity: 56,572.84; Profit / Loss: 6,607.00; Balance: 56,477.44; Total Trades: 12; Profit Factor: 4.40; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=4.5
Pass #: 58; Equity: 56,364.28; Profit / Loss: 6,426.80; Balance: 56,268.88; Total Trades: 20; Profit Factor: 2.64; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=3.5
Pass #: 68; Equity: 56,339.76; Profit / Loss: 6,377.40; Balance: 56,339.76; Total Trades: 11; Profit Factor: 5.04; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=4.0
Pass #: 77; Equity: 56,291.81; Profit / Loss: 6,368.20; Balance: 56,291.81; Total Trades: 25; Profit Factor: 3.18; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=4.5
